Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
1,0.00100000,0.879143,0.879143,0.000000,0.097329,0.145892,0.364220,0.160866,,,,,0.807908,0.807908,0.000000,0.146633,0.194834,0.442420,0.238621,,,,,0.088347
2,0.00100000,0.777375,0.777375,0.000000,0.146435,0.167354,0.629164,0.238274,,,,,0.781323,0.781323,0.000000,0.127593,0.138597,0.694436,0.215547,,,,,0.063117
3,0.00100000,0.761097,0.761097,0.000000,0.148931,0.171787,0.646359,0.242949,,,,,0.723450,0.723450,0.000000,0.171187,0.193118,0.686534,0.278465,,,,,0.114950
4,0.00100000,0.749244,0.749244,0.000000,0.155405,0.178167,0.651818,0.252302,,,,,0.786069,0.786069,0.000000,0.114601,0.119994,0.774240,0.198713,,,,,0.037012
5,0.00100000,0.735815,0.735815,0.000000,0.165947,0.188961,0.663670,0.265502,,,,,0.772291,0.772291,0.000000,0.131787,0.147845,0.637990,0.222977,,,,,0.089408
6,0.00100000,0.738955,0.738955,0.000000,0.166777,0.195625,0.623739,0.264897,,,,,0.714949,0.714949,0.000000,0.168207,0.180789,0.804057,0.274298,,,,,0.094180
7,0.00100000,0.725474,0.725474,0.000000,0.176033,0.206423,0.643949,0.277993,,,,,0.710889,0.710889,0.000000,0.180784,0.208757,0.678844,0.290809,,,,,0.123237
8,0.00100000,0.720931,0.720931,0.000000,0.179105,0.209115,0.652136,0.282646,,,,,0.700840,0.700840,0.000000,0.189103,0.214642,0.671321,0.302056,,,,,0.127828
9,0.00100000,0.710093,0.710093,0.000000,0.187692,0.219114,0.653744,0.294445,,,,,0.671560,0.671560,0.000000,0.221622,0.267742,0.652591,0.341888,,,,,0.157040
10,0.00100000,0.711502,0.711502,0.000000,0.188822,0.221763,0.630860,0.294438,,,,,0.693997,0.693997,0.000000,0.178464,0.186239,0.850516,0.290390,,,,,0.082405
11,0.00100000,0.699901,0.699901,0.000000,0.194112,0.222007,0.674616,0.303587,,,,,0.645746,0.645746,0.000000,0.236130,0.272599,0.718840,0.362804,,,,,0.149975
12,0.00100000,0.689456,0.689456,0.000000,0.209512,0.246574,0.623448,0.321794,,,,,0.642892,0.642892,0.000000,0.246697,0.296137,0.663535,0.375202,,,,,0.180841
13,0.00100000,0.680758,0.680758,0.000000,0.216870,0.258730,0.637699,0.331937,,,,,0.666380,0.666380,0.000000,0.219068,0.249360,0.695423,0.339977,,,,,0.131844
14,0.00100000,0.671185,0.671185,0.000000,0.223586,0.261582,0.643849,0.340921,,,,,0.631190,0.631190,0.000000,0.238076,0.258570,0.802060,0.366476,,,,,0.135080
15,0.00100000,0.667463,0.667463,0.000000,0.229751,0.276301,0.640697,0.348698,,,,,0.691922,0.691922,0.000000,0.203442,0.240501,0.609903,0.320398,,,,,0.141743
16,0.00100000,0.677367,0.677367,0.000000,0.220383,0.265056,0.632915,0.337240,,,,,0.625544,0.625544,0.000000,0.258004,0.300453,0.703452,0.388045,,,,,0.168108
17,0.00100000,0.649039,0.649039,0.000000,0.247301,0.297196,0.640835,0.370624,,,,,0.612996,0.612996,0.000000,0.276598,0.326751,0.668011,0.409803,,,,,0.200453
18,0.00100000,0.651421,0.651421,0.000000,0.252994,0.317494,0.602804,0.374488,,,,,0.616053,0.616053,0.000000,0.254882,0.280849,0.777216,0.387203,,,,,0.175856
