Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
1,0.00100000,0.880029,0.880029,0.000000,0.098442,0.135674,0.358823,0.162382,,,,,0.876600,0.876600,0.000000,0.062813,0.063886,0.869005,0.114443,,,,,0.018042
2,0.00100000,0.792154,0.792154,0.000000,0.138461,0.160870,0.620707,0.227903,,,,,0.761475,0.761475,0.000000,0.153711,0.175897,0.630506,0.253533,,,,,0.089174
3,0.00100000,0.761606,0.761606,0.000000,0.152666,0.179072,0.609068,0.246995,,,,,0.754649,0.754649,0.000000,0.136423,0.142744,0.805434,0.231596,,,,,0.051321
4,0.00100000,0.752437,0.752437,0.000000,0.157684,0.184560,0.616109,0.252554,,,,,0.714522,0.714522,0.000000,0.182425,0.212005,0.649918,0.291936,,,,,0.120566
5,0.00100000,0.738917,0.738917,0.000000,0.165337,0.192188,0.634575,0.264492,,,,,0.751522,0.751522,0.000000,0.155505,0.187947,0.592358,0.251887,,,,,0.107207
6,0.00100000,0.738777,0.738777,0.000000,0.164488,0.188633,0.643450,0.262815,,,,,0.705299,0.705299,0.000000,0.193273,0.231200,0.627088,0.303973,,,,,0.133247
7,0.00100000,0.727702,0.727702,0.000000,0.174752,0.205313,0.637978,0.276525,,,,,0.696577,0.696577,0.000000,0.193677,0.221909,0.678907,0.307161,,,,,0.128416
8,0.00100000,0.719480,0.719480,0.000000,0.181440,0.213935,0.640791,0.285444,,,,,0.690285,0.690285,0.000000,0.200495,0.229518,0.668725,0.314816,,,,,0.137440
9,0.00100000,0.713325,0.713325,0.000000,0.186763,0.217981,0.641335,0.291943,,,,,0.703468,0.703468,0.000000,0.173069,0.181832,0.861572,0.281460,,,,,0.078328
10,0.00100000,0.703358,0.703358,0.000000,0.194698,0.226996,0.651728,0.303060,,,,,0.688356,0.688356,0.000000,0.191964,0.212162,0.756527,0.307145,,,,,0.134803
11,0.00100000,0.702759,0.702759,0.000000,0.195779,0.228900,0.640181,0.303924,,,,,0.688395,0.688395,0.000000,0.204541,0.243469,0.656284,0.319312,,,,,0.139930
12,0.00100000,0.701548,0.701548,0.000000,0.197194,0.232566,0.632010,0.306736,,,,,0.659916,0.659916,0.000000,0.218217,0.245785,0.755006,0.340171,,,,,0.141928
13,0.00100000,0.695261,0.695261,0.000000,0.203650,0.240474,0.637938,0.313604,,,,,0.650247,0.650247,0.000000,0.275758,0.407617,0.507895,0.405678,,,,,0.210919
14,0.00100000,0.691374,0.691374,0.000000,0.209164,0.254922,0.619691,0.321901,,,,,0.697334,0.697334,0.000000,0.180796,0.193819,0.821701,0.290739,,,,,0.100239
15,0.00100000,0.692023,0.692023,0.000000,0.209209,0.252498,0.610650,0.321318,,,,,0.641106,0.641106,0.000000,0.238819,0.272188,0.743431,0.365126,,,,,0.150992
16,0.00100000,0.679893,0.679893,0.000000,0.218569,0.262019,0.634377,0.333085,,,,,0.651746,0.651746,0.000000,0.232522,0.268421,0.693073,0.357274,,,,,0.169258
17,0.00100000,0.654513,0.654513,0.000000,0.242686,0.294502,0.639976,0.364113,,,,,0.600410,0.600410,0.000000,0.293238,0.356683,0.675514,0.427212,,,,,0.209020
18,0.00100000,0.657530,0.657530,0.000000,0.243865,0.296132,0.623254,0.363166,,,,,0.608048,0.608048,0.000000,0.276822,0.328901,0.696582,0.411969,,,,,0.189791
19,0.00100000,0.663605,0.663605,0.000000,0.237664,0.291595,0.616823,0.355848,,,,,0.619729,0.619729,0.000000,0.274067,0.336567,0.659181,0.405647,,,,,0.207019
20,0.00100000,0.647213,0.647213,0.000000,0.256179,0.314766,0.614305,0.377498,,,,,0.641366,0.641366,0.000000,0.226125,0.242742,0.817037,0.351809,,,,,0.145636
21,0.00100000,0.648438,0.648438,0.000000,0.249666,0.305165,0.632847,0.372245,,,,,0.591101,0.591101,0.000000,0.305220,0.378533,0.659822,0.441577,,,,,0.241189
22,0.00100000,0.671046,0.671046,0.000000,0.231222,0.282925,0.600301,0.348541,,,,,0.610543,0.610543,0.000000,0.266984,0.303654,0.726009,0.400927,,,,,0.187431
23,0.00100000,0.633693,0.633693,0.000000,0.263461,0.319428,0.645344,0.388700,,,,,0.573449,0.573449,0.000000,0.322133,0.391762,0.672639,0.462879,,,,,0.244954
24,0.00100000,0.625064,0.625064,0.000000,0.280038,0.347354,0.608458,0.405618,,,,,0.614377,0.614377,0.000000,0.250539,0.269627,0.836770,0.381145,,,,,0.171951
25,0.00100000,0.626567,0.626567,0.000000,0.277276,0.342917,0.618619,0.402097,,,,,0.596662,0.596662,0.000000,0.303112,0.384895,0.650209,0.435786,,,,,0.243583
26,0.00100000,0.634960,0.634960,0.000000,0.268422,0.332711,0.613853,0.392039,,,,,0.576637,0.576637,0.000000,0.306021,0.360007,0.726096,0.445264,,,,,0.213457
