Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
1,0.00100000,1.030240,0.878377,0.151863,0.098939,0.135874,0.387870,0.163142,0.141023,0.233428,0.340047,0.225863,0.947445,0.804976,0.142469,0.123280,0.133507,0.690779,0.209868,0.204795,0.269484,0.532387,0.322641,0.071667
2,0.00100000,0.924083,0.786397,0.137686,0.145542,0.164637,0.634325,0.237047,0.207939,0.279636,0.535714,0.324097,0.887890,0.754304,0.133585,0.153687,0.166496,0.717698,0.254509,0.225863,0.288330,0.580818,0.352959,0.075281
3,0.00100000,0.891662,0.757372,0.134290,0.157112,0.182734,0.641194,0.252628,0.216516,0.297619,0.540486,0.334650,0.851675,0.723088,0.128587,0.170140,0.188033,0.723022,0.278290,0.256579,0.318515,0.653866,0.391098,0.097146
4,0.00100000,0.857529,0.727597,0.129932,0.176733,0.204258,0.647769,0.278891,0.239920,0.324667,0.555066,0.362818,0.815185,0.692388,0.122797,0.211295,0.261749,0.607832,0.328635,0.291106,0.366971,0.672584,0.428479,0.140772
5,0.00100000,0.846701,0.718248,0.128453,0.184965,0.216424,0.625488,0.289705,0.246578,0.336073,0.544440,0.370985,0.784451,0.664490,0.119961,0.237415,0.309106,0.602838,0.363886,0.281213,0.486830,0.449071,0.414142,0.172948
6,0.00100000,0.815948,0.693039,0.122908,0.210451,0.255398,0.621977,0.322483,0.276344,0.385194,0.556062,0.405873,0.784972,0.663865,0.121107,0.231330,0.287516,0.630046,0.356142,0.285251,0.440005,0.488775,0.416812,0.145474
7,0.00100000,0.803349,0.682250,0.121099,0.216695,0.261686,0.630992,0.331725,0.283360,0.395237,0.552736,0.414035,0.781421,0.664742,0.116678,0.207159,0.222841,0.827078,0.327246,0.334493,0.400458,0.743989,0.480515,0.122834
8,0.00100000,0.775210,0.658475,0.116735,0.244023,0.300718,0.609889,0.364770,0.310814,0.433801,0.557831,0.444088,0.755195,0.639049,0.116145,0.242558,0.277556,0.700918,0.372255,0.323647,0.386479,0.709530,0.469760,0.148018
9,0.00100000,0.772101,0.656296,0.115805,0.246772,0.305532,0.611783,0.367618,0.316042,0.437312,0.557928,0.447264,0.748294,0.634280,0.114014,0.240375,0.267380,0.762059,0.369209,0.341760,0.405797,0.728706,0.487407,0.167958
10,0.00100000,0.747255,0.635077,0.112178,0.266781,0.326173,0.625289,0.390777,0.334922,0.462065,0.569786,0.468529,0.728650,0.620519,0.108131,0.269539,0.321911,0.679376,0.401086,0.370796,0.490047,0.639527,0.513687,0.201433
11,0.00100000,0.742027,0.631185,0.110842,0.269195,0.329232,0.627576,0.393656,0.346209,0.476328,0.576559,0.480033,0.689951,0.584998,0.104954,0.301429,0.364300,0.695553,0.441669,0.379946,0.528972,0.593368,0.521477,0.213368
12,0.00100000,0.736916,0.626532,0.110385,0.275728,0.341104,0.630416,0.401472,0.347833,0.478952,0.583885,0.481399,0.742146,0.626950,0.115195,0.262752,0.309293,0.669861,0.392169,0.324755,0.439137,0.578626,0.461632,0.193470
13,0.00100000,0.745266,0.633841,0.111425,0.265714,0.325922,0.637372,0.391170,0.342387,0.469387,0.581918,0.477217,0.733507,0.622870,0.110637,0.278837,0.352848,0.610479,0.410604,0.338709,0.500773,0.525515,0.473371,0.213112
