Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
1,0.00100000,1.035060,0.886000,0.149060,0.092640,0.141030,0.326927,0.152365,0.155960,0.241112,0.383333,0.246603,0.938798,0.802573,0.136225,0.150909,0.181728,0.520807,0.248331,0.223922,0.272392,0.623632,0.349721,0.091576
2,0.00100000,0.904844,0.769187,0.135657,0.153978,0.177842,0.632978,0.249291,0.217447,0.291958,0.545517,0.336058,0.886582,0.755604,0.130978,0.137945,0.144625,0.836965,0.232222,0.250613,0.315539,0.644965,0.383861,0.096958
3,0.00100000,0.867560,0.736627,0.130933,0.170697,0.197930,0.634749,0.271121,0.236154,0.312600,0.558225,0.358692,0.873181,0.739046,0.134135,0.166901,0.196035,0.582720,0.269451,0.216565,0.316978,0.459527,0.338780,0.129748
4,0.00100000,0.849555,0.721274,0.128281,0.181081,0.209456,0.647508,0.284815,0.246258,0.327130,0.569617,0.371668,0.852976,0.721985,0.130991,0.188358,0.232907,0.565756,0.294705,0.236646,0.355052,0.471145,0.356452,0.149681
5,0.00100000,0.837013,0.710801,0.126212,0.187377,0.215558,0.651102,0.293744,0.254105,0.333332,0.567837,0.380296,0.965299,0.826088,0.139211,0.136923,0.273278,0.241244,0.219850,0.181494,0.390945,0.280679,0.284106,0.106907
6,0.00100000,0.826942,0.702057,0.124885,0.195900,0.227480,0.644191,0.304500,0.263377,0.350186,0.565761,0.391476,0.808751,0.686665,0.122085,0.231607,0.304870,0.505357,0.347445,0.277838,0.420772,0.458915,0.406028,0.172475
7,0.00100000,0.815717,0.692728,0.122989,0.206603,0.245506,0.629111,0.317951,0.274662,0.372281,0.560095,0.403927,0.829156,0.702935,0.126220,0.190725,0.220570,0.634047,0.302113,0.268367,0.357651,0.565720,0.396884,0.156073
8,0.00100000,0.795143,0.675923,0.119220,0.220965,0.260427,0.640279,0.336457,0.294116,0.397956,0.570569,0.425752,0.786855,0.668853,0.118002,0.229591,0.272682,0.606244,0.348578,0.311118,0.426760,0.541332,0.444232,0.181027
9,0.00100000,0.782697,0.665932,0.116764,0.232794,0.279165,0.632584,0.350654,0.306686,0.420647,0.562372,0.438940,0.729898,0.620425,0.109473,0.281083,0.357143,0.616692,0.413684,0.342696,0.488153,0.568290,0.483861,0.212391
10,0.00100000,0.760014,0.646844,0.113170,0.253508,0.307933,0.624582,0.374864,0.328516,0.453049,0.565304,0.461454,0.813220,0.689954,0.123266,0.230849,0.314633,0.490983,0.344621,0.278808,0.481465,0.392026,0.394396,0.208245
11,0.00100000,0.757617,0.644536,0.113081,0.255873,0.314037,0.622454,0.379167,0.330042,0.455480,0.565874,0.463489,0.733899,0.619788,0.114111,0.244065,0.260321,0.829050,0.374839,0.354702,0.397412,0.798905,0.503027,0.168528
12,0.00100000,0.735671,0.625172,0.110499,0.275618,0.337405,0.634062,0.400982,0.345509,0.475067,0.579765,0.480161,0.703557,0.598868,0.104690,0.267448,0.291776,0.801559,0.402659,0.384019,0.462354,0.714188,0.529848,0.191941
13,0.00100000,0.731389,0.622196,0.109193,0.279363,0.341862,0.637332,0.405840,0.353615,0.483917,0.583453,0.488891,0.681988,0.580799,0.101189,0.291715,0.325691,0.766268,0.430886,0.395493,0.509570,0.664213,0.544578,0.214474
14,0.00100000,0.719070,0.611586,0.107483,0.285462,0.345989,0.653006,0.414370,0.365191,0.497067,0.596995,0.502812,0.668249,0.567152,0.101097,0.332797,0.414759,0.657601,0.471426,0.394500,0.658689,0.497324,0.531034,0.278798
15,0.00100000,0.716303,0.609054,0.107250,0.289885,0.354117,0.646714,0.418896,0.365229,0.498592,0.592615,0.501838,0.651979,0.555918,0.096061,0.321644,0.365507,0.750770,0.463332,0.434987,0.568656,0.660002,0.578506,0.252364
16,0.00100000,0.709752,0.603774,0.105978,0.297764,0.368648,0.645947,0.428942,0.373349,0.517908,0.594673,0.512309,0.641734,0.544619,0.097115,0.369692,0.484309,0.642782,0.511997,0.418653,0.651291,0.545902,0.558088,0.311863
17,0.00100000,0.712069,0.605748,0.106321,0.295999,0.360838,0.646422,0.423251,0.376143,0.513696,0.590887,0.509246,0.643777,0.548866,0.094911,0.347424,0.425736,0.690335,0.492812,0.437382,0.554470,0.694138,0.583473,0.278732
18,0.00100000,0.710313,0.603899,0.106415,0.295353,0.359875,0.650622,0.424765,0.372870,0.507211,0.593191,0.508101,0.662543,0.563660,0.098883,0.307855,0.344888,0.773131,0.450667,0.410487,0.582995,0.600641,0.559458,0.235696
19,0.00100000,0.688398,0.585859,0.102539,0.310691,0.376386,0.671926,0.443914,0.393650,0.537992,0.608728,0.532414,0.664605,0.562680,0.101925,0.305032,0.331319,0.802536,0.444218,0.409901,0.471469,0.767467,0.555809,0.233113
